epochs	seqacc1	seqacc2	seqacc3	seqacc4	seqacc5	average	std	confidence
0	0	0	0	0	0	0	0	0
1	0.125	0	0	0	0	0.025	0.05590169944	0.04899909965
2	0.125	0	0.375	0	0.125	0.125	0.1530931089	0.1341895609
3	0.25	0.125	0.125	0.125	0	0.125	0.08838834765	0.0774743791
4	0.625	0.5	0.875	0.125	0.125	0.45	0.3259601203	0.285711393
5	1	0.875	0.875	0.375	0.75	0.775	0.2404423008	0.2107530965
6	0.875	0.875	0.625	0.25	0.75	0.675	0.2592055169	0.2271994784
7	0.75	0.625	0.625	0.375	0.875	0.65	0.1854049622	0.1625116286
8	0.625	0.625	0.625	0.5	0.625	0.6	0.05590169944	0.04899909965
9	0.625	0.625	0.625	0.75	0.625	0.65	0.05590169944	0.04899909965
10	0.625	0.625	0.625	0.875	0.625	0.675	0.1118033989	0.09799819931
11	0.625	0.625	0.625	0.75	0.625	0.65	0.05590169944	0.04899909965
12	0.625	0.625	0.625	0.75	0.625	0.65	0.05590169944	0.04899909965
13	0.625	0.625	0.625	0.625	0.625	0.625	0	0
14	0.625	0.625	0.625	0.625	0.625	0.625	0	0
15	0.625	0.625	0.625	0.625	0.625	0.625	0	0
16	0.625	0.625	0.625	0.625	0.625	0.625	0	0
17	0.625	0.625	0.625	0.625	0.625	0.625	0	0
18	0.625	0.625	0.625	0.625	0.625	0.625	0	0
19	0.625	0.625	0.625	0.625	0.625	0.625	0	0
20	0.625	0.625	0.625	0.625	0.625	0.625	0	0
21	0.625	0.625	0.625	0.625	0.625	0.625	0	0
22	0.625	0.625	0.625	0.625	0.625	0.625	0	0
23	0.625	0.625	0.625	0.625	0.625	0.625	0	0
24	0.625	0.625	0.625	0.625	0.625	0.625	0	0
25	0.625	0.625	0.625	0.625	0.625	0.625	0	0
26	0.625	0.625	0.625	0.625	0.625	0.625	0	0
27	0.625	0.625	0.625	0.625	0.625	0.625	0	0
28	0.625	0.625	0.625	0.625	0.625	0.625	0	0
29	0.625	0.625	0.625	0.625	0.625	0.625	0	0
30	0.625	0.625	0.625	0.625	0.625	0.625	0	0
31	0.625	0.625	0.625	0.625	0.625	0.625	0	0
32	0.625	0.625	0.625	0.625	0.625	0.625	0	0
33	0.625	0.625	0.625	0.625	0.625	0.625	0	0
34	0.625	0.625	0.625	0.625	0.625	0.625	0	0
35	0.625	0.625	0.625	0.625	0.625	0.625	0	0
36	0.625	0.625	0.625	0.625	0.625	0.625	0	0
37	0.625	0.625	0.625	0.625	0.625	0.625	0	0
38	0.625	0.625	0.625	0.625	0.625	0.625	0	0
39	0.625	0.625	0.625	0.625	0.625	0.625	0	0
40	0.625	0.625	0.625	0.625	0.625	0.625	0	0
41	0.625	0.625	0.625	0.625	0.625	0.625	0	0
42	0.625	0.625	0.625	0.625	0.625	0.625	0	0
43	0.625	0.625	0.625	0.625	0.625	0.625	0	0
44	0.625	0.625	0.625	0.625	0.625	0.625	0	0
45	0.625	0.625	0.625	0.625	0.625	0.625	0	0
46	0.625	0.625	0.625	0.625	0.625	0.625	0	0
47	0.625	0.625	0.625	0.625	0.625	0.625	0	0
48	0.625	0.625	0.625	0.625	0.625	0.625	0	0
49	0.625	0.625	0.625	0.625	0.625	0.625	0	0
50	0.625	0.625	0.625	0.625	0.625	0.625	0	0
