test set,mean,min,max,std,conf
1,2.8645,0.0000,7.3316,2.5368,1.8145913220328855
2,4.4672,0.0000,11.0827,3.4891,2.495778375001948
4,10.9633,0.0000,44.5865,13.0249,9.316804836938715
8,17.0588,2.4723,58.3973,17.1071,12.236831916252278
16,38.6275,14.0665,64.9616,15.7949,11.298205799581057
32,50.6223,10.1449,82.0972,20.7288,14.827460026866634
64,64.5610,26.1722,89.5993,19.7857,14.152853800199487
128,69.1475,42.4552,90.0256,17.1745,12.285043621985885
256,72.7792,34.6121,97.3572,22.1148,15.818875815394536
512,87.7749,75.6181,99.0622,8.4750,6.062228577037491
1024,93.4442,82.2677,99.8295,6.6878,4.783831537169479
