test set,mean,min,max,std,conf
1,43.2992,0.0000,97.1014,43.1128,30.83889654231291
2,33.9983,0.0000,91.2191,35.0272,25.05520859157612
4,55.6436,6.2234,99.8295,34.7056,24.825165793891717
8,66.1807,17.1355,100.0000,27.3032,19.530175726792923
16,81.7818,38.7894,99.6590,16.9054,12.092554452654818
32,78.8406,23.1032,100.0000,25.2360,18.051492669040485
64,78.3205,22.5916,99.5737,23.3788,16.723024124701364
128,83.2140,17.5618,99.3180,23.6928,16.947630587614615
256,82.2506,25.8312,100.0000,22.2689,15.929104655951642
512,88.2438,20.3751,100.0000,23.2618,16.639333181513948
1024,74.0750,43.0520,99.7442,21.4577,15.348847449852194
